feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket,in_low_value_tail,in_cluster,cluster_theme,cluster_role,selection_action,selection_reason,selected
months,8488.277160644531,152.12045051096106,103.4,10.358571330062848,0.0264725442760863,0.0089982693058344,0.1201944797952849,0.0689333333333333,0.1691249460839723,0.687002344113593,Original Features,0.1194175864041968,1,2,1,1,False,False,signal,False,False,none,none,keep,protected_core_signal,True
eqpdays,12139.36183719635,311.0340355943788,37.0,3.0000000000000004,0.0249149514444003,0.0058827831080041,0.1719054291355743,0.0246666666666666,0.1591728811394814,0.687002344113593,Original Features,0.1185816589805741,2,1,12,2,False,False,signal,False,False,none,none,keep,protected_core_signal,True
hnd_price,2470.891499710083,252.90300797250535,51.0,6.363961030678928,0.0123906036388947,0.0049432389671668,0.0349910983666597,0.0339999999999999,0.079797584210036,0.687002344113593,Original Features,0.0495962275255652,3,6,4,3,False,False,signal,False,False,none,none,keep,retained_signal,True
revenue_per_usage,2641.1856189727782,228.5481040172459,72.0,5.244044240850757,0.0088535838069549,0.0008981859171736,0.0374025267513872,0.048,0.05742079650702,0.687002344113593,Engineered Features,0.047607774419469,4,3,2,4,False,False,signal,False,False,none,none,keep,retained_signal,True
totmrc_Mean,2507.646236228943,100.75265733027668,62.6,3.646916505762094,0.0085226236658502,0.002386388902783,0.0355094377586407,0.0417333333333333,0.0553416402930751,0.687002344113593,Original Features,0.0441948037950164,5,5,3,5,False,False,signal,False,False,none,none,keep,retained_signal,True
avgqty,1637.913101196289,194.75747186008417,46.4,6.730527468185536,0.0060143538293268,0.0040221109018234,0.0232042395040834,0.0309333333333333,0.0392136764503704,0.687002344113593,Original Features,0.031117083095929,6,10,8,6,False,False,signal,False,True,usage,representative,keep,cluster_representative,True
mou_Mean,2391.171485900879,160.1986755211341,48.2,3.2710854467592245,0.002924970255924,0.0013245666219342,0.0338530860863897,0.0321333333333333,0.0190277296216375,0.687002344113593,Original Features,0.0283380496804535,7,7,6,11,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
change_mou,1776.714602279663,210.5205312955897,48.8,3.5637059362410923,0.0032519300730025,0.0018674499362161,0.0251557207108357,0.0325333333333333,0.020728356911059,0.687002344113593,Original Features,0.026139136985076,8,8,5,9,False,False,signal,False,False,none,none,keep,protected_core_signal,True
crclscod,1539.9005968093873,120.84386777490047,48.0,4.527692569068709,0.0036897655376751,0.0026571905553664,0.0218110792485554,0.032,0.023169189646063,0.687002344113593,Original Features,0.0256600896315394,9,12,7,8,False,False,signal,False,False,none,none,keep,retained_signal,True
change_mou_capped,1587.0580577850342,271.3145485189181,43.8,6.457553716385177,0.0031548555432989,0.002753788234737,0.0224646742964739,0.0292,0.0207755447172968,0.687002344113593,Winsorized Features,0.0241467396712569,10,11,9,10,False,False,signal,False,False,none,none,keep,retained_signal,True
change_mou_log,1370.9314987182618,407.8211659806242,38.2,12.597618822618822,0.0039993239452395,0.0039654161043922,0.0194255930998435,0.0254666666666666,0.0270679011785281,0.687002344113593,Log Features,0.0239867203150127,11,14,11,7,False,False,signal,False,False,none,none,keep,retained_signal,True
usage_to_charge,1406.4969202041625,131.80856776163307,41.2,3.346640106136302,0.0021328394266602,0.0017881659853665,0.0199120902823327,0.0274666666666666,0.0146512774924876,0.687002344113593,Engineered Features,0.0206766781471623,12,13,10,19,False,False,signal,False,False,none,none,keep,retained_signal,True
lor,1278.843777084351,89.96514353224639,34.0,2.449489742783178,0.002696951786428,0.0026593929612097,0.018111907533201,0.0226666666666666,0.0182512823025339,0.687002344113593,Original Features,0.0196766188341338,13,16,14,14,False,False,signal,False,False,none,none,keep,retained_signal,True
eqpdays_log,2555.873069000244,97.23311157725549,14.8,2.6832815729997477,0.0016332656278491,0.0013210069809566,0.0361906323904629,0.0098666666666666,0.011516915704349,0.687002344113593,Log Features,0.0191914049204928,14,4,30,22,False,False,signal,False,False,none,none,keep,retained_signal,True
trend_gap,1292.355444908142,76.86829498741044,36.0,1.5811388300841895,0.0020759014813532,0.0018336567208856,0.0182992738145739,0.024,0.0128692841783563,0.687002344113593,Engineered Features,0.0183895193309767,15,15,13,20,False,False,signal,False,False,none,none,keep,retained_signal,True
change_mou_missing_ind,1065.4955406188965,52.019525868410376,26.2,2.387467277262665,0.0026947516082136,0.0025836750549294,0.0150892848593281,0.0174666666666666,0.0190226753641826,0.687002344113593,Missing Indicators,0.0171928756300591,16,18,17,15,False,False,signal,False,False,none,none,keep,retained_signal,True
totmrc_Mean_log,1248.4150407791135,86.3620131363016,25.0,2.2360679774997902,0.0025123368326167,0.0007936012863724,0.0176774866322642,0.0166666666666666,0.0162268047232395,0.687002344113593,Log Features,0.0168569860073901,17,17,19,17,False,False,signal,False,False,none,none,keep,retained_signal,True
uniqsubs,1045.0200944900512,112.1616545659501,23.4,2.5099800796022262,0.0025918099366048,0.0010123655148138,0.014803831544863,0.0156,0.0166392282224814,0.687002344113593,Original Features,0.0156810199224481,18,19,21,16,False,False,signal,False,False,none,none,keep,retained_signal,True
ethnic,864.5915788650512,79.98536890721688,27.8,3.898717737923586,0.002362658041968,0.0013467444943571,0.0122406462246914,0.0185333333333333,0.0150530059851231,0.687002344113593,Original Features,0.0152756618477159,19,20,15,18,False,False,signal,False,False,none,none,keep,retained_signal,True
drop_vce_Mean,686.7452207565308,51.898049642955826,27.0,2.91547594742265,0.0027254874311485,0.001665534616749,0.0097223814515525,0.018,0.0169580058878846,0.687002344113593,Original Features,0.014893462446479,20,26,16,13,False,False,signal,False,False,none,none,keep,retained_signal,True
months_log,1649.815721321106,58.17599892690828,16.8,0.8366600265340757,0.000521375564754,0.000976500510572,0.0233657977620489,0.0112,0.0043713240613411,0.687002344113593,Log Features,0.0129790406077967,21,9,27,34,False,False,signal,False,False,none,none,keep,retained_signal,True
totcalls,714.6661821365357,180.96337125492667,17.2,5.06951674225463,0.0019308230633348,0.002401584264846,0.0101162079620124,0.0114666666666666,0.0131466959579141,0.687002344113593,Original Features,0.0115765235288644,22,25,26,21,False,False,signal,False,True,revenue,representative,keep,cluster_representative,True
mou_cvce_Mean,746.7133810043335,187.2142771483901,26.0,5.0,0.0004664377814602,0.0011761105568057,0.0105796305087071,0.0173333333333333,0.0046230306601819,0.687002344113593,Original Features,0.0108453315007408,23,24,18,36,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
avgrev,803.6779159545898,145.03930473160642,23.6,3.577708763999664,0.0006525861928149,0.0009253446012975,0.0113764299813619,0.0157333333333333,0.0052094305951811,0.687002344113593,Original Features,0.0107730646366254,24,21,20,30,False,False,signal,False,True,revenue_aux,representative,keep,cluster_representative,True
hnd_webcap,624.5639419555664,110.6768341709746,8.6,2.1908902300206643,0.0027625571004584,0.0017181781546554,0.0088384741721554,0.0057333333333333,0.0177423885205539,0.687002344113593,Original Features,0.0107713986753475,25,28,42,12,False,False,signal,False,False,none,none,keep,retained_signal,True
asl_flag,667.4136198043823,127.26168265346918,19.8,3.1937438845342623,0.0011838292235004,0.0007966723874279,0.0094474321839043,0.0132,0.0074940401238727,0.687002344113593,Original Features,0.0100471574359256,26,27,23,25,False,False,signal,False,False,none,none,keep,retained_signal,True
change_rev,603.2245384216309,94.10328952371847,21.8,4.381780460041329,0.000926741732747,0.0007306187449574,0.0085408491594351,0.0145333333333333,0.0060935472696645,0.687002344113593,Original Features,0.0097225765874776,27,29,22,26,False,False,signal,False,False,none,none,keep,retained_signal,True
refurb_new,779.8773015975952,241.9506834022665,9.4,0.8944271909999161,0.0016205312630322,0.0015724453207905,0.011040604488092,0.0062666666666666,0.0105898824894263,0.687002344113593,Original Features,0.0092990512147283,28,22,39,23,False,False,signal,False,False,none,none,keep,retained_signal,True
avgmou,523.3253412246704,126.16290641159443,16.6,4.505552130427524,0.0012949715593629,0.0007608055082682,0.0074085232894045,0.0110666666666666,0.0083258770254116,0.687002344113593,Original Features,0.0089336889938276,29,31,28,24,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
vceovr_Mean,564.4161792755127,168.77057847646054,17.4,3.847076812334269,0.0008342675756736,0.0008593964988604,0.0080010280664451,0.0116,0.005570814800689,0.687002344113593,Original Features,0.0083906142890447,30,30,25,27,False,False,signal,False,True,overage,representative,keep,cluster_representative,True
mou_Mean_log,759.2068195343018,110.09146853461364,14.6,2.408318915758459,0.0005624455580902,0.0008167645722792,0.0107526248640549,0.0097333333333333,0.0043886522317278,0.687002344113593,Log Features,0.0082915368097053,31,23,31,32,False,False,signal,False,False,none,none,keep,retained_signal,True
mouiwylisv_Mean,468.3238208770752,153.45246250731464,18.4,4.827007354458868,-4.120333747038944e-05,0.0010827852267154,0.0066287511987339,0.0122666666666666,0.0022391586764469,0.687002344113593,Original Features,0.0070448588472825,32,32,24,151,False,False,signal,False,False,none,none,keep,retained_signal,True
change_rev_capped,464.6577390670776,143.38258563083238,15.8,3.271085446759225,0.0004419024607659,0.0004582731461589,0.0065785396015898,0.0105333333333333,0.0034305170664991,0.687002344113593,Winsorized Features,0.0068474633338074,33,33,29,37,False,False,signal,False,False,none,none,keep,retained_signal,True
area,297.7050397872925,103.41471563401184,13.8,4.086563348340509,0.000759594860517,0.0012020943099199,0.00421569415929,0.0092,0.0060330402051555,0.687002344113593,Original Features,0.0064829114548151,34,38,32,28,False,False,signal,False,False,none,none,keep,retained_signal,True
ovrrev_Mean,424.1797590255738,143.05129623847787,12.6,4.03732584763727,0.0003941652607194,0.0007363428999564,0.0060076433941122,0.0084,0.0029043411495679,0.687002344113593,Original Features,0.00577066151456,35,35,34,40,False,False,signal,False,True,overage,redundant,drop,cluster_redundant,False
ovrmou_Mean,408.0446992874146,178.96229964614344,13.0,5.477225575051661,0.0002556207052771,0.0006825531256275,0.0057812064204515,0.0086666666666666,0.0023723110166724,0.687002344113593,Original Features,0.0056067280345968,36,36,33,46,False,False,signal,False,True,overage,redundant,drop,cluster_redundant,False
avg6rev,440.0513027191162,154.83971029231583,8.0,2.549509756796392,0.0004417024445646,0.0002829340737182,0.0062337755531876,0.0053333333333333,0.0028301397099804,0.687002344113593,Original Features,0.0047990828655004,37,34,44,38,False,False,signal,False,True,revenue_aux,redundant,drop,cluster_redundant,False
change_rev_log,313.55267906188965,73.84503333459381,11.4,3.781534080237808,0.0002660882198124,0.0005032033353616,0.0044439225168862,0.0076,0.0020234793181872,0.687002344113593,Log Features,0.0046891339450244,38,37,36,45,False,False,signal,False,False,none,none,keep,retained_signal,True
iwylis_vce_Mean,286.65132122039796,117.44117151340744,12.0,4.847679857416329,0.0001584128314393,0.0003992839613533,0.0040624945246586,0.008,0.0015374586193337,0.687002344113593,Original Features,0.0045333177146641,39,39,35,53,False,False,signal,False,False,none,none,keep,retained_signal,True
drop_blk_Mean,229.44678077697753,67.70935446305856,10.2,2.387467277262665,0.000534176601638,0.0004759486507272,0.0032467976092441,0.0068,0.0034394670208747,0.687002344113593,Original Features,0.0044954215433729,40,44,38,33,False,False,signal,False,True,quality,representative,keep,cluster_representative,True
adjqty,217.89615859985352,126.72082543535852,7.2,3.96232255123179,0.0006574532537135,0.0013085869511213,0.0030819699972064,0.0048,0.0049450039527027,0.687002344113593,Original Features,0.004275657983303,41,46,48,29,False,False,signal,False,True,revenue,redundant,drop,cluster_redundant,False
HHstatin_missing_ind,236.06406059265137,89.81786081355084,7.6,2.1908902300206647,0.0005856474374424,0.0007132549335492,0.0033436515257477,0.0050666666666666,0.0041053955565758,0.687002344113593,Missing Indicators,0.0041719045829967,42,42,46,31,False,False,signal,False,False,none,none,keep,retained_signal,True
service_issue_score,231.6959409713745,56.63098104972165,11.2,1.9235384061671343,0.0001438783208106,0.0004005327968809,0.0032776991214326,0.0074666666666666,0.0015846725568463,0.687002344113593,Engineered Features,0.0041096794483152,43,43,37,55,False,False,signal,False,False,none,none,keep,retained_signal,True
vceovr_Mean_capped,257.2815996170044,85.48791681255092,8.2,2.280350850198276,0.0003066248366117,0.0003840973966774,0.0036414331810955,0.0054666666666666,0.0023194920447912,0.687002344113593,Winsorized Features,0.0038091972975178,44,41,43,42,False,False,signal,False,False,none,none,keep,retained_signal,True
ovrmou_Mean_capped,275.90666103363037,110.76766497677556,7.8,2.280350850198276,0.0001289437777793,0.0005660428753779,0.0038999993897969,0.0052,0.0019240107867789,0.687002344113593,Winsorized Features,0.0036746700588586,45,40,45,56,False,False,signal,False,False,none,none,keep,retained_signal,True
mou_peav_Mean,194.1336008071899,52.04769212595085,8.8,2.5884358211089573,0.0001820147431941,0.0003498096154451,0.002751241757284,0.0058666666666666,0.0015747636058738,0.687002344113593,Original Features,0.0033975573432748,46,49,41,51,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
inonemin_Mean,201.8703596115112,33.27170510155099,9.2,1.0954451150103324,-3.500283522963611e-05,0.000288960826964,0.0028608688222754,0.0061333333333333,0.0004643487856932,0.687002344113593,Original Features,0.0031528503137673,47,47,40,148,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
income,155.49279975891113,28.314182496025225,6.4,0.547722557505166,0.0004249677557215,0.0002359697204312,0.0022010320609479,0.0042666666666666,0.0027705567464382,0.687002344113593,Original Features,0.0030794184913509,48,58,51,39,False,False,signal,False,False,none,none,keep,retained_signal,True
uniqsubs_log,199.29817867279053,41.483619011555945,4.8,1.3038404810405295,0.0004722382512983,0.0006078456012464,0.0028222112677447,0.0032,0.0031700497140395,0.687002344113593,Log Features,0.0030640869939281,49,48,58,35,False,False,signal,False,False,none,none,keep,retained_signal,True
mouowylisv_Mean,176.70571994781494,76.01756947026334,7.4,2.302172886644267,0.000236352477884,0.0002263161933387,0.0025005936366551,0.0049333333333333,0.0016302874977718,0.687002344113593,Original Features,0.0030214048225867,50,52,47,48,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
rev_Mean_log,221.3639413833618,100.83688796599216,7.0,3.1622776601683795,0.000128143712974,0.0001771057532251,0.0031299697632125,0.0046666666666666,0.0009475175251058,0.687002344113593,Log Features,0.002914717984995,51,45,49,57,False,False,signal,False,False,none,none,keep,retained_signal,True
actvsubs,164.6230209350586,56.90793641747582,6.0,1.4142135623730951,0.0003212926913746,0.0002418842701259,0.0023334519822566,0.004,0.0020454953276034,0.687002344113593,Original Features,0.00279298243662,52,54,53,41,False,False,signal,False,False,none,none,keep,retained_signal,True
dwllsize,178.6227991104126,55.15651792968476,6.6,2.302172886644267,0.0001238767006794,0.0005106524129064,0.0025300814062816,0.0044,0.0013929702636142,0.687002344113593,Original Features,0.0027743505566319,53,51,50,58,False,False,signal,False,False,none,none,keep,retained_signal,True
rev_Mean,157.52658061981202,72.59344440971854,5.8,1.6431676725154984,0.0002500869237074,0.0002404656370861,0.0022295612229656,0.0038666666666666,0.0017209851886868,0.687002344113593,Original Features,0.002605737692773,54,57,54,47,False,False,signal,False,True,revenue_aux,redundant,drop,cluster_redundant,False
opk_vce_Mean,159.68054027557372,51.13405890209132,7.4,2.701851217221259,-0.0001136092023453,0.000315023700336,0.002262197742884,0.0049333333333333,0.000414225693828,0.687002344113593,Original Features,0.0025365855900151,55,55,47,166,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
avgqty_log,148.3379201889038,83.90274708336247,5.6,3.1304951684997055,8.84738330471239e-05,0.0005323757565414,0.0021018299232922,0.0037333333333333,0.0017224383480019,0.687002344113593,Log Features,0.0025192005348758,56,63,55,70,False,False,signal,False,False,none,none,keep,retained_signal,True
totrev,164.7453004837036,37.18931061267411,7.4,1.51657508881031,-3.2469296679697265e-05,0.0001450109029688,0.0023335649831331,0.0049333333333333,0.0002732949251406,0.687002344113593,Original Features,0.0025133977472023,57,53,47,147,False,False,signal,False,True,revenue,redundant,drop,cluster_redundant,False
roam_Mean,120.33877983093262,54.51771618640981,6.0,2.1213203435596424,0.0002688884466308,0.0002168957473667,0.0017041945944564,0.004,0.0017350944631258,0.687002344113593,Original Features,0.002479763019194,58,71,53,44,False,False,signal,False,False,none,none,keep,retained_signal,True
peak_vce_Mean,184.03072147369383,117.25408801444286,6.4,2.792848008753788,-0.0001248767816859,0.000293284409912,0.0026072249687781,0.0042666666666666,0.0003618888453744,0.687002344113593,Original Features,0.0024119268269397,59,50,51,168,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
mou_opkv_Mean,151.04694004058837,21.66311245491031,6.2,0.8366600265340755,-0.0001308772677253,0.0005031063868314,0.0021389745455329,0.0041333333333333,0.0008613999403929,0.687002344113593,Original Features,0.0023779026064197,60,61,52,169,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
dwlltype,138.32405853271484,63.31357916314133,4.8,2.16794833886788,0.0002137506471357,0.0003705751405441,0.0019620418005174,0.0032,0.0016808453987231,0.687002344113593,Original Features,0.0022809623997468,61,66,58,49,False,False,signal,False,False,none,none,keep,retained_signal,True
avg3mou,152.13724117279054,93.35911556625553,5.8,3.1144823004794873,-2.8668988854896254e-06,0.0002891862578751,0.0021605264941469,0.0038666666666666,0.0006629527857176,0.687002344113593,Original Features,0.0022300486488437,62,60,54,123,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
marital,153.0985990524292,50.86471560214299,5.2,1.4832396974191326,0.0001160760688282,0.0001845838784972,0.0021657572438031,0.0034666666666666,0.0008732009249258,0.687002344113593,Original Features,0.0021685416117985,63,59,57,59,False,False,signal,False,False,none,none,keep,retained_signal,True
unan_vce_Mean,89.05993957519532,13.314544298608569,4.8,0.8366600265340756,0.000272222049986,0.000289468471471,0.0012619245558094,0.0032,0.0018939217064233,0.687002344113593,Original Features,0.0021186154207442,64,80,58,43,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
custcare_Mean,146.38427963256837,62.08941801071465,5.4,2.5099800796022267,-9.694118556936951e-05,0.000397176099834,0.0020713013584773,0.0036,0.0006692946951626,0.687002344113593,Original Features,0.00211353201788,65,64,56,164,False,False,signal,False,True,support,representative,keep,cluster_representative,True
change_rev_missing_ind,157.79200077056885,26.358480532209047,4.4,1.1401754250991378,4.687046317419046e-05,0.0003293524703112,0.0022343581120446,0.0029333333333333,0.0009348736245687,0.687002344113593,Missing Indicators,0.0020341883566489,66,56,60,85,False,False,signal,False,False,none,none,keep,retained_signal,True
recv_vce_Mean,124.06389961242677,55.2147117206207,5.8,2.6832815729997477,-8.640699896691472e-05,0.0002241175114429,0.0017556543094787,0.0038666666666666,0.0004039122338428,0.687002344113593,Original Features,0.0020087444033294,67,68,54,160,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
